individual                    Treefile_name                  Population_optimum             strength_stabilizing_selection ind_fitness                    ind_genetic_value              ind_environmental_value        ind_phenotype                 
15                             harpak_przeworski.trees11      0.0                            1.0                            0.4869732783056143             -0.9982423827164331            2.197864012576421              1.1996216298599878            
16                             harpak_przeworski.trees11      0.0                            1.0                            0.3446252053852222             -0.9982423827164331            -0.46141361351766497           -1.459655996234098            
17                             harpak_przeworski.trees11      0.0                            1.0                            0.7613167689168061             -1.236217827178063             0.4976980180658589             -0.7385198091122042           
18                             harpak_przeworski.trees11      0.0                            1.0                            0.9979413979466408             -0.9982423827164331            0.9340438798199664             -0.06419850289646667          
19                             harpak_przeworski.trees11      0.0                            1.0                            0.4394973160040801             -1.236217827178063             -0.04606425474149134           -1.2822820819195544           
20                             harpak_przeworski.trees11      0.0                            1.0                            0.9968816396864392             -1.236217827178063             1.3152524086042392             0.07903458142617614           
21                             harpak_przeworski.trees11      0.0                            1.0                            0.9397525375708204             -0.9982423827164331            0.6457123945454559             -0.35252998817097714          
22                             harpak_przeworski.trees11      0.0                            1.0                            0.9651206200352342             -0.8245444527403192            1.0910109256752538             0.26646647293493464           
23                             harpak_przeworski.trees11      0.0                            1.0                            0.3611339741595749             -0.7602669382548031            -0.6669725440616552            -1.4272394823164583           
24                             harpak_przeworski.trees11      0.0                            1.0                            0.7041310043646788             -1.236217827178063             2.073822572139094              0.8376047449610311            
25                             harpak_przeworski.trees11      0.0                            1.0                            0.9126500316482982             -0.7602669382548031            0.33270924905724375            -0.4275576891975593           
26                             harpak_przeworski.trees11      0.0                            1.0                            0.993019883984257              -1.236217827178063             1.354578217377782              0.118360390199719             
27                             harpak_przeworski.trees11      0.0                            1.0                            0.9133251358539803             -1.236217827178063             0.8103931128864504             -0.4258247142916126           
28                             harpak_przeworski.trees11      0.0                            1.0                            0.7402620696100588             -0.9982423827164331            1.773807992265831              0.7755656095493979            
29                             harpak_przeworski.trees11      0.0                            1.0                            0.7890690857250855             -0.9982423827164331            0.30990903200947695            -0.6883333507069561           
30                             harpak_przeworski.trees11      0.0                            1.0                            0.27307250710229586            -1.236217827178063             2.847439677377258              1.6112218501991948            
31                             harpak_przeworski.trees11      0.0                            1.0                            0.9346549500113811             -0.9982423827164331            0.6306070872795031             -0.36763529543692997          
32                             harpak_przeworski.trees11      0.0                            1.0                            0.9681539010512741             -0.9982423827164331            0.7438245545141253             -0.25441782820230774          
33                             harpak_przeworski.trees11      0.0                            1.0                            0.8652106031893989             -1.236217827178063             0.6981057017070404             -0.5381121254710226           
34                             harpak_przeworski.trees11      0.0                            1.0                            0.6294148520185218             -1.236217827178063             0.2739655759214298             -0.9622522512566333           
35                             harpak_przeworski.trees11      0.0                            1.0                            0.38151524762367733            -0.9982423827164331            2.3864818876272533             1.3882395049108203            
36                             harpak_przeworski.trees11      0.0                            1.0                            0.6792676812048873             -0.7602669382548031            -0.11921017973347459           -0.8794771179882777           
37                             harpak_przeworski.trees11      0.0                            1.0                            0.49012148944355743            -1.236217827178063             0.04198001085418801            -1.194237816323875            
38                             harpak_przeworski.trees11      0.0                            1.0                            0.6181230159397817             -0.9982423827164331            0.017357286066975952           -0.9808850966494571           
39                             harpak_przeworski.trees11      0.0                            1.0                            0.6432331620215598             -0.9982423827164331            0.058829795428928966           -0.9394125872875041           
40                             harpak_przeworski.trees11      0.0                            1.0                            0.15743703719825664            -1.236217827178063             -0.686660049580573             -1.922877876758636            
41                             harpak_przeworski.trees11      0.0                            1.0                            0.7356549049129439             -1.236217827178063             2.0197918816309306             0.7835740544528675            
42                             harpak_przeworski.trees11      0.0                            1.0                            0.7031762047084729             -0.9982423827164331            1.8374655613365816             0.8392231786201485            
43                             harpak_przeworski.trees11      0.0                            1.0                            0.9982615289098374             -1.236217827178063             1.1772265738484708             -0.05899125332959221          
44                             harpak_przeworski.trees11      0.0                            1.0                            0.9930680441062733             -1.236217827178063             1.3541677615733723             0.11794993439530921           
45                             harpak_przeworski.trees11      0.0                            1.0                            0.9663647912712168             -0.9982423827164331            0.7366553595726737             -0.26158702314375937          
46                             harpak_przeworski.trees11      0.0                            1.0                            0.07015683032040602            -0.7602669382548031            3.0654880165082994             2.3052210782534965            
47                             harpak_przeworski.trees11      0.0                            1.0                            0.8806444918578997             -0.7602669382548031            0.2560819276567481             -0.504185010598055            
48                             harpak_przeworski.trees11      0.0                            1.0                            0.9763513826954711             -1.236217827178063             1.4549996093643727             0.21878178218630961           
49                             harpak_przeworski.trees11      0.0                            1.0                            0.6908058608069314             -1.236217827178063             0.3761056848859824             -0.8601121422920807           
50                             harpak_przeworski.trees11      0.0                            1.0                            0.3792345635909798             -0.9982423827164331            -0.39430949354862865           -1.3925518762650617           
51                             harpak_przeworski.trees11      0.0                            1.0                            0.7205855201665838             -1.236217827178063             2.0457747121523884             0.8095568849743253            
52                             harpak_przeworski.trees11      0.0                            1.0                            0.9608083728358517             -0.9982423827164331            1.281015414713321              0.28277303199688797           
53                             harpak_przeworski.trees11      0.0                            1.0                            0.9336688146063888             -1.2012303221113312            0.8307347300986362             -0.370495592012695            
54                             harpak_przeworski.trees11      0.0                            1.0                            0.9998335179887637             -1.236217827178063             1.2179697658616047             -0.018248061316458397         
55                             harpak_przeworski.trees11      0.0                            1.0                            0.986446479170128              -0.9982423827164331            0.8330382166675245             -0.16520416604890853          
56                             harpak_przeworski.trees11      0.0                            1.0                            0.9765731264292121             -1.236217827178063             1.0184764888290692             -0.2177413383489939           
57                             harpak_przeworski.trees11      0.0                            1.0                            0.10279116994856964            -0.9982423827164331            -1.1348566891000762            -2.1330990718165093           
58                             harpak_przeworski.trees11      0.0                            1.0                            0.7738353929123052             -0.7895569476735873            1.5056520512261211             0.7160951035525338            
59                             harpak_przeworski.trees11      0.0                            1.0                            0.22423652790104934            -0.9982423827164331            -0.7309504093674242            -1.7291927920838572           
60                             harpak_przeworski.trees11      0.0                            1.0                            0.9725342160901725             -1.236217827178063             1.0002092660274762             -0.23600856115058688          
61                             harpak_przeworski.trees11      0.0                            1.0                            0.1640715766518944             -0.9982423827164331            -0.9030479703712408            -1.901290353087674            
62                             harpak_przeworski.trees11      0.0                            1.0                            0.45093748045511883            -0.9982423827164331            -0.26384047776200625           -1.2620828604784393           
63                             harpak_przeworski.trees11      0.0                            1.0                            0.8147150661773077             -0.8245444527403192            0.18436191795481116            -0.640182534785508            
64                             harpak_przeworski.trees11      0.0                            1.0                            0.4092442094470161             -0.9982423827164331            2.334987094330139              1.3367447116137061            
65                             harpak_przeworski.trees11      0.0                            1.0                            0.8864611854172719             -0.8245444527403192            1.3154985004916264             0.49095404775130724           
66                             harpak_przeworski.trees11      0.0                            1.0                            0.9472048202257097             -0.9982423827164331            1.3276051794759347             0.32936279675950164           
67                             harpak_przeworski.trees11      0.0                            1.0                            0.9660038144374631             -1.236217827178063             1.4992292188872023             0.26301139170913923           
68                             harpak_przeworski.trees11      0.0                            1.0                            0.4177166650773026             -0.9982423827164331            -0.3230841560577724            -1.3213265387742055           
69                             harpak_przeworski.trees11      0.0                            1.0                            0.6318297749518963             -0.7602669382548031            1.7185312697889366             0.9582643315341335            
70                             harpak_przeworski.trees11      0.0                            1.0                            0.48566482464809135            -1.236217827178063             0.03435547713521536            -1.2018623500428478           
71                             harpak_przeworski.trees11      0.0                            1.0                            0.9813441466290266             -0.7602669382548031            0.954339444699201              0.19407250644439789           
72                             harpak_przeworski.trees11      0.0                            1.0                            0.542994758503603              -1.236217827178063             0.13108832169676687            -1.1051295054812962           
73                             harpak_przeworski.trees11      0.0                            1.0                            0.9240799422066404             -1.236217827178063             0.8388346530420026             -0.3973831741360605           
74                             harpak_przeworski.trees11      0.0                            1.0                            0.41473103069458406            -0.9982423827164331            2.324986583894232              1.326744201177799             
75                             harpak_przeworski.trees11      0.0                            1.0                            0.7484617866751258             -1.236217827178063             1.9974472664826108             0.7612294393045478            
76                             harpak_przeworski.trees11      0.0                            1.0                            0.5329482573091918             -1.2012303221113312            2.3231313317800453             1.121901009668714             
77                             harpak_przeworski.trees11      0.0                            1.0                            0.791778733153089              -1.236217827178063             0.5528829114408582             -0.6833349157372048           
78                             harpak_przeworski.trees11      0.0                            1.0                            0.3278872140258951             -0.9982423827164331            -0.49513338339766677           -1.4933757661140998           
79                             harpak_przeworski.trees11      0.0                            1.0                            0.19494333172020678            -0.9982423827164331            -0.810097391339152             -1.808339774055585            
80                             harpak_przeworski.trees11      0.0                            1.0                            0.3618814994788771             -0.9982423827164331            2.42403231833302               1.4257899356165868            
81                             harpak_przeworski.trees11      0.0                            1.0                            0.7900362703236671             -0.9982423827164331            0.31169096763832804            -0.686551415078105            
82                             harpak_przeworski.trees11      0.0                            1.0                            0.9551318229761945             -0.9632548776497012            1.266259542621214              0.3030046649715128            
83                             harpak_przeworski.trees11      0.0                            1.0                            0.8585303146748172             -1.236217827178063             1.7885461499297224             0.5523283227516593            
84                             harpak_przeworski.trees11      0.0                            1.0                            0.1342113676961549             -1.236217827178063             3.2403831651215924             2.0041653379435296            
85                             harpak_przeworski.trees11      0.0                            1.0                            0.4022808722390921             -1.236217827178063             -0.1133041231209595            -1.3495219502990226           
86                             harpak_przeworski.trees11      0.0                            1.0                            0.6029188156223746             -1.236217827178063             0.23026283271324688            -1.0059549944648163           
87                             harpak_przeworski.trees11      0.0                            1.0                            0.9540246511592833             -0.9632548776497012            1.2700635088127996             0.3068086311630984            
88                             harpak_przeworski.trees11      0.0                            1.0                            0.7820904657838746             -1.236217827178063             0.5350974951633416             -0.7011203320147215           
89                             harpak_przeworski.trees11      0.0                            1.0                            0.6349927928253057             -0.9982423827164331            0.04520342230058094            -0.9530389604158521           
90                             harpak_przeworski.trees11      0.0                            1.0                            0.18844256369716247            -1.236217827178063             3.0632164699782902             1.8269986428002272            
91                             harpak_przeworski.trees11      0.0                            1.0                            0.40605829770210017            -0.9982423827164331            -0.3443361358732675            -1.3425785185897006           
92                             harpak_przeworski.trees11      0.0                            1.0                            0.8584550689926999             -1.236217827178063             0.6837308379079383             -0.5524869892701247           
93                             harpak_przeworski.trees11      0.0                            1.0                            0.7817001660325194             -0.9982423827164331            1.7000743160973417             0.7018319333809087            
94                             harpak_przeworski.trees11      0.0                            1.0                            0.9972367893481798             -1.236217827178063             1.1618264921227206             -0.07439133505534246          
95                             harpak_przeworski.trees11      0.0                            1.0                            0.9849747277420337             -1.236217827178063             1.4102252710066776             0.17400744382861455           
96                             harpak_przeworski.trees11      0.0                            1.0                            0.9873866417093248             -0.9982423827164331            1.1575758820306166             0.1593334993141835            
97                             harpak_przeworski.trees11      0.0                            1.0                            0.5726932536898806             -0.9982423827164331            2.0540880527689174             1.0558456700524843            
98                             harpak_przeworski.trees11      0.0                            1.0                            0.6817856134141118             -1.236217827178063             2.111477811856468              0.875259984678405             
99                             harpak_przeworski.trees11      0.0                            1.0                            0.17677856775888132            -1.236217827178063             -0.6254251886603421            -1.8616430158384052           
